ID,X,Y,Signal
1,212,149,243
2,212,202,20
3,212,220,20
4,212,245,20
5,213,-293,83
6,213,-292,83
7,213,-290,83
8,213,-173,74
9,213,-169,74
10,213,88,243
11,213,89,243
12,213,98,116
13,213,116,70
14,213,117,70
15,213,124,206
16,213,157,20
17,213,158,20
18,213,162,20
19,213,202,20
20,213,245,20
21,214,-259,83
22,214,-227,243
23,214,-11,74
24,214,-5,74
25,214,82,50
26,214,116,70
27,214,125,206
28,214,128,206
29,215,-290,83
30,215,-271,50
31,215,-172,179
32,215,-171,179
33,215,-170,179
34,215,66,100
35,215,96,116
36,215,98,116
37,215,99,116
38,215,114,70
39,215,115,70
40,215,116,70
41,215,165,116
42,215,168,116
43,216,-259,83
44,216,-258,83
45,216,-257,83
46,216,-256,83
47,216,-191,100
48,216,-171,179
49,216,-118,243